title,genre,original_language,release_date,ratings
A Clockwork Orange,"Science Fiction,Drama",en,1971-12-19,8.2
The Seventh Seal,"Fantasy,Drama",sv,1957-02-16,8.2
Investigation of a Citizen Above Suspicion,"Drama,Thriller",it,1970-10-16,8.2
Vertigo,"Mystery,Romance,Thriller",en,1958-05-28,8.2
The Hate U Give,"Crime,Drama",en,2018-10-19,8.2
Children of Paradise,"Drama,Romance",fr,1945-03-15,8.2
Portrait of a Lady on Fire,"Drama,Romance,History",fr,2019-06-17,8.2
Inglourious Basterds,"Drama,Action,Thriller,War",en,2009-08-19,8.2
Along with the Gods: The Last 49 Days,"Drama,Fantasy,Action",ko,2018-08-01,8.2
Call Me by Your Name,"Romance,Drama",en,2017-09-01,8.2
Star Wars,"Adventure,Action,Science Fiction",en,1977-05-25,8.2
The Usual Suspects,"Drama,Crime,Thriller",en,1995-07-19,8.2
Gladiator,"Action,Drama,Adventure",en,2000-05-04,8.2
Piper,"Family,Animation",en,2016-06-16,8.2
The Prestige,"Drama,Mystery,Science Fiction",en,2006-10-19,8.2
Saving Private Ryan,"Drama,History,War",en,1998-07-24,8.2
Memento,"Mystery,Thriller",en,2000-10-11,8.2
Shutter Island,"Drama,Thriller,Mystery",en,2010-02-14,8.2
The Matrix,"Action,Science Fiction",en,1999-03-30,8.2
My Mom is a Character 3,Comedy,pt,2019-12-26,8.2
Capernaum,Drama,ar,2018-09-20,8.2
The Help,Drama,en,2011-08-09,8.2
Hacksaw Ridge,"Drama,History,War",en,2016-10-07,8.2
Soul,"Animation,Family,Comedy,Fantasy,Drama",en,2020-12-25,8.2
Taxi Driver,"Crime,Drama",en,1976-02-09,8.2
Wonder,"Drama,Family",en,2017-11-13,8.2
Singin' in the Rain,"Comedy,Music,Romance,Drama",en,1952-04-09,8.2
Metropolis,"Drama,Science Fiction",de,1927-02-06,8.2
Yojimbo,"Drama,Thriller",ja,1961-04-25,8.2
Joker,"Crime,Thriller,Drama",en,2019-10-01,8.2
All About Eve,Drama,en,1950-10-06,8.2
Scenes from a Marriage,"Drama,Romance",sv,1974-09-15,8.2
Casablanca,"Drama,Romance",en,1942-11-26,8.2
La Dolce Vita,"Comedy,Drama",it,1960-02-05,8.2
Bo Burnham: Make Happy,"Comedy,Music",en,2016-06-03,8.2
Andrei Rublev,"Drama,History",ru,1966-12-16,8.2
The Father,Drama,en,2020-12-23,8.2
Scarface,"Action,Crime,Drama",en,1983-12-09,8.2
My Friends,Comedy,it,1975-10-24,8.2
The Departed,"Drama,Thriller,Crime",en,2006-10-04,8.2
Rashomon,"Crime,Drama,Mystery",ja,1950-08-26,8.2
"Lock, Stock and Two Smoking Barrels","Comedy,Crime",en,1998-08-28,8.2
Ayla: The Daughter of War,"Drama,War",tr,2017-10-27,8.2
Togo,"Adventure,Family",en,2019-12-20,8.2
Double Indemnity,"Crime,Drama,Mystery,Thriller",en,1944-06-14,8.2
Central Station,Drama,pt,1998-11-20,8.2
Sherlock Jr.,"Action,Comedy,Mystery",en,1924-04-17,8.2
Me Against You: Mr. S's Vendetta,"Comedy,Family",it,2020-01-17,8.2
Out of the Clear Blue Sky,"Comedy,Drama,Music",es,2019-12-24,8.2
Nobody,"Action,Crime,Thriller",en,2021-03-18,8.1
Reservoir Dogs,"Crime,Thriller",en,1992-09-02,8.1
Django Unchained,"Drama,Western",en,2012-12-25,8.2
Far From the Tree,"Animation,Family",en,2021-11-24,8.1
The Great War,"Drama,Comedy,War",it,1959-10-28,8.1
Cruella,"Comedy,Crime",en,2021-05-26,8.1
Full Metal Jacket,"Drama,War",en,1987-06-26,8.1
Good Will Hunting,Drama,en,1997-12-05,8.1
Some Like It Hot,"Comedy,Music,Romance,Crime",en,1959-03-19,8.1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama,Comedy,War",en,1964-01-29,8.1
Wild Strawberries,Drama,sv,1957-12-26,8.1
Alien,"Horror,Science Fiction",en,1979-05-25,8.1
Paper Lives,Drama,tr,2021-03-12,8.1
The Invisible Guest,"Drama,Mystery,Thriller",es,2017-01-06,8.1
"Paris, Texas",Drama,en,1984-08-23,8.1
How to Train Your Dragon: Homecoming,"Animation,Fantasy,Adventure,Action,Family",en,2019-10-25,8.1
Dersu Uzala,"Action,Adventure,Drama",ru,1975-08-02,8.1
Pather Panchali,Drama,bn,1955-08-26,8.1
The Tale of The Princess Kaguya,"Animation,Drama,Fantasy",ja,2013-11-23,8.1
Anne of Green Gables,"Family,Drama",en,1985-12-01,8.1
Harry Potter and the Deathly Hallows: Part 2,"Fantasy,Adventure",en,2011-07-07,8.1
Michael Jackson's Thriller,"Horror,Music",en,1983-11-14,8.1
Big Deal on Madonna Street,"Comedy,Crime",it,1958-07-26,8.1
The Truman Show,"Comedy,Drama",en,1998-06-04,8.1
Red Beard,Drama,ja,1965-04-03,8.1
M,"Drama,Action,Thriller,Crime",de,1931-05-11,8.1
Believe Me: The Abduction of Lisa McVey,"Drama,TV Movie",en,2018-09-30,8.1
In the Mood for Love,"Drama,Romance",cn,2000-09-29,8.1
Incendies,"Drama,War,Mystery",fr,2010-09-04,8.1
A Special Day,"Drama,Romance",it,1977-08-11,8.1
I corti,Comedy,it,1996-01-01,8.1
There Will Be Blood,Drama,en,2007-12-26,8.1
Hannah Gadsby: Nanette,Comedy,en,2018-06-19,8.1
Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",en,2004-03-19,8.1
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation,Comedy,Mystery,Family,Fantasy",en,2021-09-14,8.1
The Hunt,Drama,da,2012-10-25,8.1
"Three Billboards Outside Ebbing, Missouri","Crime,Drama",en,2017-12-01,8.1
Lion,Drama,en,2016-01-20,8.1
In the Arms of an Assassin,"Romance,Thriller",es,2019-12-06,8.1
Ugetsu,"Fantasy,Drama,Mystery",ja,1953-03-26,8.1
Kitbull,"Animation,Family,Drama",en,2019-01-18,8.1
The Best of Youth,"Drama,History,Romance",it,2003-06-22,8.1
"Toto, Peppino, and the Hussy","Comedy,Romance",it,1956-08-23,8.1
The Passion of Joan of Arc,"Drama,History",fr,1928-04-21,8.1
The 400 Blows,Drama,fr,1959-06-03,8.1
Scooby-Doo! and Kiss: Rock and Roll Mystery,"Family,Animation,Comedy",en,2015-07-10,8.1
La Haine,Drama,fr,1995-05-31,8.1
"Love, Simon","Comedy,Drama,Romance",en,2018-02-16,8.1
Das Boot,"Drama,History,War",de,1981-09-17,8.1
Pride & Prejudice,"Drama,Romance",en,2005-09-16,8.1
The Elephant Man,"Drama,History",en,1980-10-09,8.1
Mirror,"Drama,History",ru,1975-03-07,8.1
A Taxi Driver,"Action,Drama,History",ko,2017-08-02,8.1
Silenced,Drama,ko,2011-09-22,8.1
Ran,"Action,Drama,History",ja,1985-06-01,8.1
2001: A Space Odyssey,"Science Fiction,Mystery,Adventure",en,1968-04-02,8.1
Jojo Rabbit,"Comedy,War,Drama",en,2019-10-18,8.1
Bound by Honor,"Crime,Action,Drama,Thriller",en,1993-02-05,8.1
Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",en,1991-07-03,8.1
Doctor Who: The Time of the Doctor,"Drama,Science Fiction,TV Movie",en,2013-12-25,8.1
Rocco and His Brothers,"Crime,Drama",it,1960-10-06,8.1
My Neighbor Totoro,"Fantasy,Animation,Family",ja,1988-04-16,8.1
The Red Shoes,"Drama,Romance",en,1948-09-06,8.1
Late Spring,Drama,ja,1949-09-13,8.1
Nights of Cabiria,Drama,it,1957-10-03,8.1
Memories of Murder,"Crime,Drama,Thriller",ko,2003-05-02,8.1
Ron's Gone Wrong,"Animation,Science Fiction,Family,Comedy",en,2021-10-15,8.1
Love Exposure,"Action,Comedy,Drama,Romance",ja,2009-01-31,8.1
A Dog's Journey,"Family,Adventure,Drama",en,2019-05-03,8.1
Loving Vincent,"Animation,Drama,Mystery,History",en,2017-06-22,8.1
WALL·E,"Animation,Family,Science Fiction",en,2008-06-22,8.1
Hidden Figures,"Drama,History",en,2016-12-10,8.1
Prisoners,"Drama,Thriller,Crime",en,2013-09-18,8.1
Elite Squad,"Drama,Action,Crime",pt,2007-10-12,8.1
Cool Kids Don't Cry,"Family,Romance,Drama",nl,2012-02-15,8.1
My Name Is Khan,"Drama,Romance",hi,2010-02-10,8.1
Judgment at Nuremberg,"Drama,History,War",en,1961-12-18,8.1
On My Skin,Drama,it,2018-09-12,8.1
Weathering with You,"Animation,Drama,Fantasy,Romance",ja,2019-06-19,8.1
Finch,"Science Fiction,Drama,Adventure",en,2021-11-04,8.1
Room,"Drama,Thriller",en,2015-10-16,8.1
The Grand Budapest Hotel,"Comedy,Drama",en,2014-02-26,8.1
Poverty and Nobility,Comedy,it,1954-04-17,8.1
Sing 2,"Animation,Comedy,Family,Music",en,2021-12-01,8.1
Gifted,"Drama,Comedy",en,2017-04-12,8.1
Spider-Man: No Way Home,"Action,Adventure,Science Fiction",en,2021-12-15,8.1
In a Heartbeat,"Family,Animation,Romance,Comedy",en,2017-06-01,8.1
Along with the Gods: The Two Worlds,"Drama,Fantasy,Action",ko,2017-12-14,8.1
The Lives of Others,"Drama,Thriller",de,2006-03-15,8.0
All My Life,"Romance,Drama",en,2020-10-23,8.0
The Sting,"Comedy,Crime,Drama",en,1973-12-25,8.0
To Kill a Mockingbird,"Crime,Drama",en,1962-12-20,8.0
The Wages of Fear,"Drama,Thriller,Adventure",fr,1953-04-22,8.0
Wish Dragon,"Animation,Family,Comedy,Fantasy",en,2021-01-15,8.0
Innocent Voices,"Drama,War",es,2005-01-28,8.0
The Circus,"Comedy,Romance",en,1928-01-06,8.0
Chungking Express,"Drama,Comedy,Romance",cn,1994-07-14,8.0
The General,"Action,Adventure,Comedy,Drama,War",en,1926-12-25,8.0
The Second Mother,Drama,pt,2015-06-04,8.0
Prayers for Bobby,"Drama,History,TV Movie",en,2009-01-24,8.0
For a Few Dollars More,Western,it,1965-12-18,8.0
Song of the Sea,"Family,Animation,Fantasy",en,2014-09-06,8.0
In This Corner of the World,"Drama,Animation,Romance,War,History",ja,2016-11-12,8.0
The Young and the Damned,"Crime,Drama",es,1950-12-09,8.0
The Treasure of the Sierra Madre,"Adventure,Drama,Western",en,1948-01-15,8.0
Dial M for Murder,"Crime,Thriller",en,1954-05-29,8.0
Palmer,Drama,en,2021-01-29,8.0
Bingo: The King of the Mornings,"Comedy,Drama",pt,2017-08-24,8.0
The Hidden Fortress,"Adventure,Drama,Action,Comedy",ja,1958-12-28,8.0
CODA,"Drama,Music,Romance",en,2021-08-11,8.0
"Veinteañera, Divorciada y Fantástica",Comedy,es,2020-02-14,8.0
Ivan Vasilyevich Changes His Profession,"Comedy,Science Fiction",ru,1973-09-17,8.0
The Gold Rush,"Adventure,Comedy,Drama",en,1925-07-12,8.0
Requiem for a Dream,"Crime,Drama",en,2000-10-06,8.0
"Rome, Open City","Drama,History",it,1945-10-08,8.0
American Beauty,Drama,en,1999-09-15,8.0
The Cranes Are Flying,"Drama,Romance,War",ru,1957-10-12,8.0
The Wolf of Wall Street,"Crime,Drama,Comedy",en,2013-12-25,8.0
Citizen Kane,"Mystery,Drama",en,1941-04-17,8.0
El mesero,Comedy,es,2021-07-15,8.0
Miracle in Cell No. 7,"Drama,Comedy",ko,2013-01-23,8.0
The Deer Hunter,"Drama,War",en,1978-03-09,8.0
A Man Escaped,"Thriller,Drama,War,History",fr,1956-11-11,8.0
Nobody Knows,Drama,ja,2004-08-07,8.0
